Date,Open,High,Low,Close,Adj Close,Volume,Suggestion
03/01/2017,78.760002,79.910004,78.489998,79.5,76.697723,13785200,Sell
04/01/2017,79.440002,80.260002,79.360001,80.150002,77.324791,8033100,Sell
05/01/2017,80.339996,81.529999,80.220001,81.089996,78.231674,7805100,Sell
06/01/2017,81.300003,82.489998,80.940002,82.209999,79.312195,8898300,Sell
09/01/2017,82.279999,82.449997,81.650002,81.75,78.868416,7305300,Buy
10/01/2017,81.699997,81.900002,81.129997,81.309998,78.443932,6017500,Buy
11/01/2017,81.25,81.800003,80.910004,81.800003,78.916664,7499200,Sell
12/01/2017,81.050003,81.470001,80.510002,81.370003,78.501816,6884000,Sell
13/01/2017,81.019997,81.849998,80.790001,81.169998,78.308853,7291200,Sell
17/01/2017,80.760002,81.489998,80.760002,81.260002,78.395691,6326500,Sell
18/01/2017,81.269997,81.830002,80.980003,81.589996,78.71405,8512300,Sell
19/01/2017,81.790001,81.849998,81.410004,81.730003,78.849129,6479400,Buy
20/01/2017,82.089996,82.279999,81.610001,81.839996,78.955246,9048500,Buy
23/01/2017,81.699997,82.300003,81.5,82.150002,79.254326,7414200,Sell
24/01/2017,82.400002,83.489998,81.849998,83.230003,80.296249,8397500,Sell
25/01/2017,83.790001,84.269997,83.449997,83.900002,80.942612,9360900,Sell
26/01/2017,83.919998,83.919998,83.080002,83.239998,80.305893,8428200,Buy
27/01/2017,83.32,83.800003,82.919998,83.769997,80.817192,5445900,Sell
30/01/2017,83.470001,83.739998,82.660004,83.699997,80.74968,8792800,Sell
31/01/2017,82.129997,83.279999,82.099998,82.709999,79.794579,7479400,Sell
01/02/2017,82.900002,83.089996,82.050003,82.440002,79.534088,7534400,Buy
02/02/2017,82.139999,82.699997,81.57,82.300003,79.399025,11142300,Sell
03/02/2017,85.739998,86.82,85.110001,86.080002,83.045792,28079600,Sell
06/02/2017,86.07,86.099998,85.510002,85.830002,82.804588,9665300,Buy
07/02/2017,85.959999,86.349998,85.669998,85.779999,82.756348,8600300,Buy
08/02/2017,85.800003,85.839996,85.080002,85.089996,82.090698,7587700,Buy
09/02/2017,85.370003,85.769997,84.879997,85.580002,82.563393,6554700,Sell
10/02/2017,85.800003,86.139999,85.230003,85.900002,82.872131,10432000,Sell
13/02/2017,86.199997,86.699997,86,86.440002,83.393089,6046300,Sell
14/02/2017,86.519997,86.970001,86.260002,86.849998,83.788628,5952000,Sell
15/02/2017,87.019997,87.540001,86.699997,87.540001,84.615074,8049700,Sell
16/02/2017,87.550003,87.68,86.790001,87.410004,84.489418,8680600,Buy
17/02/2017,87.269997,87.68,86.980003,87.459999,84.537735,5887200,Sell
21/02/2017,87.510002,88.040001,87.169998,87.919998,84.982384,9301300,Sell
22/02/2017,87.610001,88.150002,87.510002,87.800003,84.866409,8389900,Sell
23/02/2017,88.230003,88.489998,87.870003,88.18,85.233696,6040500,Buy
24/02/2017,87.360001,88.43,87.300003,88.43,85.475349,5151300,Sell
27/02/2017,88.32,88.379997,87.910004,88,85.059708,6131600,Buy
28/02/2017,88.160004,88.379997,87.760002,87.940002,85.001724,8521900,Buy
01/03/2017,88.739998,89.139999,88.419998,88.989998,86.01664,11131400,Sell
02/03/2017,89,89.129997,88.099998,88.529999,85.571991,10544200,Buy
03/03/2017,88.309998,88.910004,88.18,88.790001,85.823334,5700600,Sell
06/03/2017,88.529999,89.269997,88.269997,88.940002,85.9683,7347600,Sell
07/03/2017,88.989998,89.300003,88.849998,89.059998,86.08429,5688400,Sell
08/03/2017,89.169998,89.300003,88.870003,88.959999,85.987625,5866800,Buy
09/03/2017,89.019997,89.5,88.709999,89.110001,86.132614,5953900,Sell
10/03/2017,89.5,89.860001,89.099998,89.730003,86.731903,12246700,Sell
13/03/2017,89.800003,90.309998,89.610001,90.110001,87.099205,8944100,Sell
14/03/2017,89.93,90.029999,89.239998,89.550003,86.557922,6009400,Buy
15/03/2017,89.75,90.099998,89.410004,89.919998,86.91555,6350700,Sell
16/03/2017,90.309998,90.330002,89.470001,90.040001,87.031555,9174400,Buy
17/03/2017,90.25,90.629997,90.169998,90.239998,87.224846,8613400,Buy
20/03/2017,90.290001,92.050003,88.970001,89.18,86.200279,9438000,Buy
21/03/2017,89.489998,89.709999,88,88.059998,85.117699,11092100,Buy
22/03/2017,87.849998,89.040001,87.849998,88.519997,85.562325,7828600,Sell
23/03/2017,88.470001,89.389999,88.419998,88.860001,85.890976,7710700,Sell
24/03/2017,89.059998,89.610001,88.970001,89.190002,86.209938,7597600,Sell
27/03/2017,88.309998,88.989998,88.07,88.949997,85.977959,5230000,Sell
28/03/2017,89.120003,89.419998,88.489998,89.120003,86.142281,7045500,Sell
29/03/2017,88.989998,89.389999,88.559998,89.18,86.200279,4738000,Sell
30/03/2017,89.080002,89.099998,88.599998,89.010002,86.035957,6227100,Buy
31/03/2017,88.980003,89.349998,88.870003,88.870003,85.90062,6429800,Buy
03/04/2017,89.139999,89.459999,88.400002,89.360001,86.374252,9125800,Sell
04/04/2017,89.010002,89.330002,88.660004,88.779999,85.813644,4859900,Buy
05/04/2017,89.129997,90.199997,88.949997,89.029999,86.05529,7251600,Buy
06/04/2017,89,89.260002,88.779999,89.089996,86.113274,8473900,Sell
07/04/2017,88.970001,89.239998,88.519997,88.739998,85.774979,5439500,Buy
10/04/2017,88.620003,89.25,88.519997,88.860001,85.890976,5999400,Sell
11/04/2017,88.599998,88.849998,88.129997,88.849998,85.881325,7058500,Sell
12/04/2017,88.699997,89.209999,88.559998,88.68,85.716957,5912500,Buy
13/04/2017,88.470001,89.779999,88.43,88.870003,85.90062,7242700,Sell
17/04/2017,89.089996,89.900002,88.75,89.809998,86.809227,6122800,Sell
18/04/2017,89.639999,89.919998,89.239998,89.730003,86.731903,6823500,Sell
19/04/2017,90.089996,90.620003,89.599998,89.75,86.751236,7301300,Buy
20/04/2017,90.139999,91.5,89.900002,91.150002,88.104446,12178300,Sell
21/04/2017,92.769997,92.800003,91.019997,91.150002,88.104446,19442600,Buy
24/04/2017,92.150002,92.5,91.010002,91.849998,88.781075,11705400,Buy
25/04/2017,91.989998,92.349998,91.580002,92.110001,89.032379,7769200,Sell
26/04/2017,92.019997,92.480003,91.75,91.82,88.752075,11295200,Buy
27/04/2017,91.949997,92,91.279999,91.599998,88.539429,5856800,Buy
28/04/2017,91.389999,91.550003,90.980003,91.220001,88.172112,6888500,Buy
01/05/2017,91.290001,91.669998,91.139999,91.260002,88.210777,9042100,Buy
02/05/2017,91.620003,92.75,91.529999,92.540001,89.448021,11627700,Sell
03/05/2017,92.400002,92.550003,91.980003,92.440002,89.351357,4909000,Sell
04/05/2017,92.699997,92.849998,92.25,92.620003,89.525337,5257000,Buy
05/05/2017,92.900002,92.980003,91.760002,92.089996,89.013039,8844500,Buy
08/05/2017,92.050003,92.160004,91.519997,91.919998,88.848747,5223600,Buy
09/05/2017,91.900002,92.139999,91.830002,92,88.926041,3969500,Sell
10/05/2017,91.699997,92.410004,91.68,92.25,89.167679,6747600,Sell
11/05/2017,92.120003,92.309998,91.620003,92.099998,89.02272,7052200,Buy
12/05/2017,92.190002,92.779999,91.980003,92.730003,89.631653,5898800,Sell
15/05/2017,92.730003,93.419998,92.720001,93.230003,90.114983,7040100,Sell
16/05/2017,93.349998,93.720001,92.970001,93.150002,90.037628,5497400,Buy
17/05/2017,92.480003,92.760002,91.709999,91.760002,88.851463,8240200,Buy
18/05/2017,91.360001,92.480003,91.360001,91.709999,88.80304,8239800,Sell
19/05/2017,91.980003,92.809998,91.709999,92.480003,89.548637,9361300,Sell
22/05/2017,92.529999,93.599998,92.43,93.309998,90.352318,9186200,Sell
23/05/2017,93.559998,94.07,93.470001,93.860001,90.884895,7616100,Sell
24/05/2017,94.019997,94.989998,94.019997,94.809998,91.804764,6825300,Sell
25/05/2017,95.089996,95.379997,94.889999,95.040001,92.027481,7262400,Buy
26/05/2017,95,95.120003,94.389999,94.669998,91.669228,4133900,Buy
30/05/2017,94.660004,94.879997,94.339996,94.720001,91.717636,6292700,Sell
31/05/2017,95.080002,95.529999,94.459999,95.230003,92.211456,9866000,Sell
01/06/2017,95.400002,95.449997,94.610001,95.400002,92.376083,8911900,Sell
02/06/2017,95.410004,96.190002,95.410004,96.150002,93.102333,8570200,Sell
05/06/2017,96.32,96.589996,96.110001,96.550003,93.489616,14510500,Sell
06/06/2017,96.269997,96.599998,95.559998,95.790001,92.753723,7030300,Buy
07/06/2017,96.029999,96.220001,95.760002,96.089996,93.044205,6720300,Sell
08/06/2017,95.870003,96.120003,95.290001,96.089996,93.044205,7720300,Sell
09/06/2017,96.089996,96.25,93.709999,94.559998,91.562706,16887100,Buy
12/06/2017,93.690002,94.040001,92.800003,93.5,90.536285,15610000,Buy
13/06/2017,94,95.339996,93.970001,95.080002,92.066238,8700100,Sell
14/06/2017,95.32,96,94.949997,95.32,92.298622,6347000,Sell
15/06/2017,94.440002,94.529999,93.529999,94.169998,91.185081,12793900,Buy
16/06/2017,94.309998,94.440002,93.739998,94.169998,91.185081,14705100,Buy
19/06/2017,94.75,94.849998,94.25,94.790001,91.785431,5984300,Sell
20/06/2017,94.790001,94.959999,94.330002,94.379997,91.388412,5626700,Buy
21/06/2017,94.610001,94.769997,94.07,94.540001,91.543343,5611400,Buy
22/06/2017,94.489998,94.510002,93.870003,93.949997,90.972038,5846500,Buy
23/06/2017,94.160004,95.650002,93.889999,95.580002,92.550362,11637300,Sell
26/06/2017,95.800003,96.269997,95.099998,95.220001,92.201775,6970800,Buy
27/06/2017,95.150002,95.339996,94.629997,94.900002,91.89193,6283600,Buy
28/06/2017,95.150002,96.400002,94.660004,96.230003,93.179779,5571300,Sell
29/06/2017,95.790001,95.790001,94.010002,94.419998,91.427162,8872500,Buy
30/06/2017,94.379997,94.620003,93.779999,93.779999,90.807419,9036600,Buy
03/07/2017,94.379997,94.410004,93.349998,93.349998,90.391052,6197700,Buy
05/07/2017,93.75,94.400002,93.720001,94.010002,91.030144,9339600,Sell
06/07/2017,93.449997,93.970001,93.190002,93.25,90.29422,8215700,Buy
07/07/2017,93.5,94.410004,93.5,93.919998,90.943001,6175800,Sell
10/07/2017,94.150002,95.370003,94.150002,95.089996,92.075912,8851800,Sell
11/07/2017,95.080002,95.629997,94.93,95.410004,92.385773,5554100,Sell
12/07/2017,95.980003,96.449997,95.629997,96.18,93.131363,5974800,Sell
13/07/2017,96.419998,96.650002,95.769997,95.940002,92.898972,6721700,Buy
14/07/2017,96.139999,97.370003,96.120003,96.93,93.857582,6195800,Sell
17/07/2017,97.110001,97.290001,96.589996,96.830002,93.760765,5914900,Buy
18/07/2017,96.849998,97.75,96.610001,97.580002,94.486977,7435000,Sell
19/07/2017,97.639999,98.330002,97.550003,98.25,95.135742,6390400,Sell
20/07/2017,99.110001,99.139999,97.93,98.110001,95.000191,8572900,Buy
21/07/2017,99.599998,100.489998,99.089996,99.599998,96.442947,17400200,Sell
24/07/2017,99.550003,100.419998,99.139999,100.370003,97.18853,9186000,Sell
25/07/2017,100.650002,100.849998,99.800003,99.989998,96.820595,6774900,Buy
26/07/2017,100.010002,100.989998,99.860001,100.849998,97.653343,7205400,Sell
27/07/2017,100.970001,101.18,98.550003,99.57,96.413925,10543900,Buy
28/07/2017,99.120003,99.589996,98.510002,99.150002,96.007217,6558800,Sell
31/07/2017,99.5,100,99.139999,99.559998,96.404213,7576600,Sell
01/08/2017,100.360001,101.07,99.959999,100.870003,97.672691,6018100,Sell
02/08/2017,101.029999,101.279999,100.239998,101.279999,98.069702,5955600,Sell
03/08/2017,100.940002,101.099998,100.330002,100.589996,97.401573,5697500,Buy
04/08/2017,100.959999,101.339996,100.610001,100.889999,97.69207,4618000,Buy
07/08/2017,100.919998,101.540001,100.589996,101.489998,98.273056,7047100,Sell
08/08/2017,101.5,101.720001,100.93,101.279999,98.069702,6283700,Buy
09/08/2017,100.760002,101.300003,100.599998,100.970001,97.769524,6902100,Sell
10/08/2017,100.540001,100.879997,99.43,99.489998,96.336456,8560800,Buy
11/08/2017,99.550003,100.300003,99.529999,100.089996,96.917419,5268200,Sell
14/08/2017,100.980003,102.110001,100.75,101.870003,98.640999,5657600,Sell
15/08/2017,102.360001,102.779999,101.970001,102.629997,99.3769,5386000,Sell
16/08/2017,102.760002,103.93,102.639999,103.32,100.206139,13408300,Sell
17/08/2017,103.330002,103.529999,102.160004,102.160004,99.0811,7381600,Buy
18/08/2017,102.080002,103.089996,101.940002,102.510002,99.420563,5670900,Sell
21/08/2017,102.620003,103.349998,102.330002,103.220001,100.109169,5395000,Sell
22/08/2017,103.440002,104.199997,103.139999,104.07,100.933548,5481000,Sell
23/08/2017,103.769997,103.970001,102.989998,103.18,100.070366,5057200,Buy
